name	2010-05-15	2010-07-15	2010-09-15	2011-05-15	2011-07-15	2011-09-15
80201_1	161.0	284.0	299.0	289.0	329.0	268.0
80201_2	69.0	142.0	100.0	168.0	136.0	159.0
80201_3	51.0	148.0	113.0	124.0	161.0	147.0
80201_4	219.0	430.0	551.0	417.0	420.0	390.0
80201_5	75.0	76.0	168.0	175.0	126.0	117.0
80201_6	18.0	21.0	26.0	22.0	19.0	18.0
80201_7	315.0	401.0	525.0	781.0	480.0	389.0
80201_8	250.0	463.0	682.0	659.0	549.0	662.0
80202_1	1568.0	1193.0	1476.0	1415.0	1424.0	1346.0
80202_2	666.0	431.0	604.0	531.0	485.0	474.0
80202_3	614.0	478.0	527.0	391.0	461.0	463.0
80202_4	189.0	169.0	135.0	146.0	152.0	117.0
80202_5	676.0	634.0	730.0	586.0	574.0	550.0
80202_6	1363.0	1312.0	1546.0	1214.0	1100.0	1188.0
80202_7	504.0	508.0	564.0	375.0	334.0	474.0
80202_8	795.0	618.0	876.0	761.0	702.0	653.0
80202_9	1343.0	866.0	1343.0	1282.0	929.0	1003.0
80203_1	147.0	172.0	170.0	123.0	126.0	167.0
80203_10	541.0	477.0	567.0	499.0	506.0	401.0
80203_11	123.0	146.0	141.0	156.0	153.0	105.0
80203_2	143.0	174.0	183.0	190.0	149.0	144.0
80203_3	228.0	135.0	215.0	213.0	213.0	185.0
80203_4	238.0	-1.0	297.0	209.0	282.0	187.0
80203_5	232.0	263.0	323.0	263.0	292.0	255.0
80203_6	358.0	291.0	390.0	326.0	331.0	313.0
80203_7	260.0	131.0	260.0	196.0	130.0	194.0
80203_8	358.0	252.0	326.0	324.0	310.0	358.0
80203_9	800.0	186.0	416.0	946.0	317.0	628.0
80204_1	211.0	76.0	107.0	-1.0	-1.0	-1.0
80204_2	93.0	77.0	17.0	-1.0	-1.0	-1.0
80204_3	295.0	255.0	25.0	-1.0	-1.0	-1.0
80204_4	144.0	119.0	75.0	-1.0	-1.0	-1.0
80204_5	199.0	167.0	123.0	-1.0	-1.0	-1.0
80204_6	399.0	217.0	488.0	-1.0	-1.0	-1.0
80204_7	237.0	218.0	126.0	-1.0	-1.0	-1.0
80204_8	72.0	74.0	20.0	-1.0	-1.0	-1.0
80204_9	352.0	205.0	141.0	-1.0	-1.0	-1.0
80206_1	257.0	255.0	199.0	199.0	229.0	290.0
80206_2	245.0	203.0	239.0	163.0	198.0	208.0
80206_3	541.0	529.0	490.0	520.0	577.0	648.0
80206_4	404.0	369.0	341.0	315.0	312.0	350.0
80206_5	1040.0	930.0	992.0	819.0	822.0	845.0
80206_6	130.0	102.0	127.0	121.0	134.0	124.0
80206_7	313.0	308.0	264.0	234.0	237.0	270.0
80207_1	-1.0	133.0	113.0	151.0	163.0	102.0
80207_10	319.0	157.0	323.0	309.0	364.0	238.0
80207_2	450.0	435.0	427.0	517.0	605.0	430.0
80207_3	251.0	279.0	278.0	417.0	392.0	356.0
80207_4	82.0	114.0	123.0	159.0	136.0	98.0
80207_5	217.0	150.0	242.0	230.0	259.0	162.0
80207_6	203.0	219.0	241.0	346.0	388.0	239.0
80207_7	254.0	227.0	238.0	256.0	275.0	192.0
80207_8	115.0	254.0	192.0	254.0	296.0	246.0
80207_9	228.0	240.0	231.0	266.0	243.0	180.0
80208_1	-1.0	382.0	487.0	395.0	401.0	396.0
80208_10	-1.0	461.0	430.0	498.0	396.0	455.0
80208_2	198.0	507.0	416.0	903.0	702.0	686.0
80208_3	108.0	464.0	358.0	504.0	355.0	331.0
80208_4	58.0	351.0	357.0	341.0	371.0	322.0
80208_5	-1.0	70.0	287.0	286.0	217.0	187.0
80208_6	129.0	541.0	327.0	497.0	395.0	379.0
80208_7	123.0	429.0	604.0	727.0	644.0	655.0
80208_8	82.0	240.0	220.0	371.0	282.0	250.0
80208_9	36.0	454.0	477.0	505.0	465.0	563.0
80209_1	1999.0	1842.0	2360.0	1796.0	1474.0	1621.0
80209_2	923.0	922.0	864.0	763.0	789.0	700.0
80209_3	1010.0	843.0	1064.0	761.0	720.0	918.0
80209_4	971.0	894.0	855.0	732.0	823.0	701.0
80209_5	725.0	649.0	613.0	589.0	379.0	592.0
80209_6	539.0	517.0	578.0	533.0	302.0	512.0
80209_7	555.0	453.0	492.0	432.0	492.0	498.0
80209_8	810.0	698.0	876.0	685.0	782.0	794.0
80209_9	595.0	660.0	789.0	638.0	656.0	695.0
